,index,along_track,time,x,y,xtilt,atilt,code,shifts,range_shift,npeaks
0,304,0,1696329389.60787,-35.7414412233047,-24.5062381379539,0.881272971630096,1.74161565303803,304kuka_stare_decon_Ku-Scat20231003-103408.nc,40,1.60491455078125,4
1,305,0.00227042636082449,1696329390.07277,-35.7394076180644,-24.5052285412094,0.385556906461716,1.5543452501297,305kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
2,306,0.00227042636082449,1696329390.53784,-35.7394076180644,-24.5052285412094,0.385556906461716,1.5543452501297,306kuka_stare_decon_Ku-Scat20231003-103408.nc,41,1.6125439453125,3
3,307,0.202734923335855,1696329391.0028,-35.6046853889711,-24.356574211386,0.0881272926926613,0.84932678937912,307kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,2
4,308,0.202734923335855,1696329391.46791,-35.6046853889711,-24.356574211386,0.0881272926926613,0.84932678937912,308kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
5,309,0.574697645775265,1696329391.93187,-35.3752312641591,-24.0633299647598,0.616891086101532,0.893390476703644,309kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,2
6,310,0.574697645775265,1696329392.39681,-35.3752312641591,-24.0633299647598,0.616891086101532,0.893390476703644,310kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,2
7,311,0.959890165779905,1696329392.86183,-35.1344287754036,-23.7626488571987,0.616891086101532,0.893390476703644,311kuka_stare_decon_Ku-Scat20231003-103408.nc,41,1.6125439453125,2
8,350,0.991446245270397,1696329410.99112,-35.1201802268624,-23.7335801078007,0.815177500247955,1.02558147907257,350kuka_stare_decon_Ku-Scat20231003-103408.nc,40,1.60491455078125,2
9,351,0.991446245270397,1696329411.45521,-35.1201802268624,-23.7335801078007,1.24479806423187,1.79669523239136,351kuka_stare_decon_Ku-Scat20231003-103408.nc,40,1.60491455078125,2
10,352,1.2171389049631,1696329411.92009,-34.9853683137335,-23.5524137991015,1.24479806423187,1.79669523239136,352kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,2
11,353,1.2171389049631,1696329412.38499,-34.9853683137335,-23.5524137991015,0.67197060585022,0.0782129317522049,353kuka_stare_decon_Ku-Scat20231003-103408.nc,43,1.627802734375,3
12,354,1.7053655374027,1696329412.85004,-34.7432358590886,-23.1235387248453,0.67197060585022,0.0782129317522049,354kuka_stare_decon_Ku-Scat20231003-103408.nc,40,1.60491455078125,3
13,355,1.7053655374027,1696329413.31494,-34.7432358590886,-23.1235387248453,1.25581395626068,0.640024363994598,355kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,2
14,357,1.90969842743831,1696329414.24509,-34.6505114492029,-22.9388133991743,1.25581395626068,0.640024363994598,357kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,3
15,358,1.98704307058195,1696329414.70991,-34.6093171634711,-22.8732545870589,1.68543446063995,0.992533624172211,358kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,3
16,359,1.98704307058195,1696329415.17382,-34.6093171634711,-22.8732545870589,1.68543446063995,0.992533624172211,359kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
17,360,1.98704307058195,1696329415.63876,-34.6093171634711,-22.8732545870589,0.59485924243927,-2.01481032371521,360kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
18,361,2.36814298599727,1696329416.10381,-34.4747060216032,-22.5053675447125,0.59485924243927,-2.01481032371521,361kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,4
19,362,2.36814298599727,1696329416.56878,-34.4747060216032,-22.5053675447125,0.793145656585693,-1.41995120048523,362kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,4
20,364,2.67293581410544,1696329417.4986,-34.369260603562,-22.2123972077388,0.308445543050766,-0.681885063648224,364kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
21,365,2.73112313145627,1696329417.96375,-34.3546762582846,-22.153385297046,0.308445543050766,-0.681885063648224,365kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,3
22,366,2.73112313145627,1696329418.42784,-34.3546762582846,-22.153385297046,0.0220318231731653,-1.98176264762878,366kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,3
23,367,3.20233984861623,1696329418.89285,-34.1855594734661,-21.7072718132986,0.0220318231731653,-1.98176264762878,367kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
24,368,3.20233984861623,1696329419.35775,-34.1855594734661,-21.7072718132986,0.51774787902832,-0.604773581027985,368kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,3
25,369,3.35234784448373,1696329419.82273,-34.1243021208793,-21.5697270799428,0.51774787902832,-0.604773581027985,369kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,4
26,370,3.35234784448373,1696329420.28787,-34.1243021208793,-21.5697270799428,0.51774787902832,-0.604773581027985,370kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,4
27,371,3.56143907881673,1696329420.75261,-34.0537975849584,-21.3700450217584,-0.440636485815048,-3.02827429771423,371kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
28,372,3.56143907881673,1696329421.21783,-34.0537975849584,-21.3700450217584,-0.440636485815048,-3.02827429771423,372kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,4
29,373,3.67202636977361,1696329421.68166,-34.0082386820577,-21.2689882848645,-0.121175028383732,-1.61823725700378,373kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,5
30,374,3.67202636977361,1696329422.14659,-34.0082386820577,-21.2689882848645,-0.121175028383732,-1.61823725700378,374kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,3
31,375,3.67202636977361,1696329422.61158,-34.0082386820577,-21.2689882848645,0.110159121453762,-3.54602217674255,375kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,3
32,376,4.13589403877879,1696329423.07672,-33.8541555567645,-20.8260516871233,0.110159121453762,-3.54602217674255,376kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,4
33,377,4.13589403877879,1696329423.54152,-33.8541555567645,-20.8260516871233,-1.38800489902496,-0.0209303386509418,377kuka_stare_decon_Ku-Scat20231003-103408.nc,34,1.55913818359375,3
34,378,4.44371334764067,1696329424.0065,-33.7234272146598,-20.5471716094762,-1.38800489902496,-0.0209303386509418,378kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,3
35,392,4.43080423761373,1696329430.51437,-33.7234598929062,-20.5616497510346,-0.286413699388504,0.39767450094223,392kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,4
36,393,4.43108682690997,1696329430.97922,-33.7206499832682,-20.5627709792461,-0.286413699388504,0.39767450094223,393kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,4
37,394,4.43108682690997,1696329431.44323,-33.7206499832682,-20.5627709792461,-0.286413699388504,0.39767450094223,394kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,3
38,395,4.50046772353094,1696329431.90821,-33.7241439116187,-20.4832142395899,-1.41003668308258,-0.296328127384186,395kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,5
39,396,4.50046772353094,1696329432.37354,-33.7241439116187,-20.4832142395899,-1.41003668308258,-0.296328127384186,396kuka_stare_decon_Ku-Scat20231003-103408.nc,40,1.60491455078125,4
40,431,4.44010919288814,1696329448.64318,-33.8129718829878,-20.506791220163,-0.242350056767464,1.84075891971588,431kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,4
41,432,4.44010919288814,1696329449.10741,-33.8129718829878,-20.506791220163,-0.749082028865814,1.19082009792328,432kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
42,433,4.44010919288814,1696329449.57242,-33.8129718829878,-20.506791220163,-0.749082028865814,1.19082009792328,433kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,3
43,434,4.72117379400825,1696329450.03736,-33.6818449078128,-20.2579979128204,-0.682986557483673,0.915422260761261,434kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,5
44,435,4.72117379400825,1696329450.50225,-33.6818449078128,-20.2579979128204,-0.682986557483673,0.915422260761261,435kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,4
45,436,5.07989239301411,1696329450.96724,-33.5141437756829,-19.9406655775383,-0.550795614719391,1.56536114215851,436kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,3
46,437,5.07989239301411,1696329451.43235,-33.5141437756829,-19.9406655775383,-0.550795614719391,1.56536114215851,437kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
47,438,5.18541232422289,1696329451.8972,-33.4599691485055,-19.8496958430624,-0.407588750123978,1.96193397045136,438kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
48,494,5.14503451037264,1696329477.92836,-33.459122412838,-19.8951210324885,0.0440636463463306,0.981517732143402,494kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
