Pit,Salinity,Temp,Density,e_real_ku,e_imag_ku,pv
2,8.47,-2.7,0.3864681333,4.515334409213268,2.825860698673422,0.4507882184127026
3,6.07,-2.4,0.309011813,3.438072960737247,1.8527588813678544,0.5218681534591738
4,9.1,-2.0,0.3738770602,5.5388197305885,4.096311038112913,0.40115994859751175
5,9.29,-2.1,0.4221192615,6.0041256884626115,4.479786820644792,0.38496689091971276
6,15.05,-2.6,0.5859446842,9.469042436060597,7.933428967328761,0.3027367222202637
7,18.5,-2.6,0.7167362241,13.226471001774424,11.950927159951743,0.25378580294735764
