,level_0,index,atilt,code,shifts,range_shift,npeaks
173,173,307,-1.5080783367157,307kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,4
174,174,308,-1.5080783367157,308kuka_stare_decon_Ku-Scat20231003-133409.nc,43,1.627802734375,3
175,175,309,-3.30367207527161,309kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,3
176,176,310,-3.30367207527161,310kuka_stare_decon_Ku-Scat20231003-133409.nc,47,1.6583203125,2
177,177,311,-3.30367207527161,311kuka_stare_decon_Ku-Scat20231003-133409.nc,47,1.6583203125,2
178,178,312,-2.91811490058899,312kuka_stare_decon_Ku-Scat20231003-133409.nc,42,1.62017333984375,3
179,179,313,-2.91811490058899,313kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,3
180,180,314,-4.59253406524658,314kuka_stare_decon_Ku-Scat20231003-133409.nc,48,1.66594970703125,2
181,181,315,-4.59253406524658,315kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,4
182,182,316,-1.28776001930237,316kuka_stare_decon_Ku-Scat20231003-133409.nc,72,1.84905517578125,4
183,183,339,-1.25471234321594,339kuka_stare_decon_Ku-Scat20231003-133409.nc,46,1.65069091796875,4
184,184,340,-1.23268055915833,340kuka_stare_decon_Ku-Scat20231003-133409.nc,45,1.6430615234375,4
185,185,341,-1.23268055915833,341kuka_stare_decon_Ku-Scat20231003-133409.nc,38,1.58965576171875,4
186,186,342,-1.86058735847473,342kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,5
187,187,343,-1.86058735847473,343kuka_stare_decon_Ku-Scat20231003-133409.nc,45,1.6430615234375,2
188,188,366,0.0671970397233963,366kuka_stare_decon_Ku-Scat20231003-133409.nc,38,1.58965576171875,3
189,189,367,0.0671970397233963,367kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,4
190,190,368,-1.25471234321594,368kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,2
191,191,369,-1.25471234321594,369kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,4
192,192,370,-1.25471234321594,370kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,2
193,193,371,-0.351407587528229,371kuka_stare_decon_Ku-Scat20231003-133409.nc,38,1.58965576171875,4
194,194,372,-0.351407587528229,372kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,4
195,195,376,2.1822521686554,376kuka_stare_decon_Ku-Scat20231003-133409.nc,40,1.60491455078125,4
196,196,377,0.100244715809822,377kuka_stare_decon_Ku-Scat20231003-133409.nc,38,1.58965576171875,4
197,197,378,0.100244715809822,378kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,4
198,198,380,-1.78347611427307,380kuka_stare_decon_Ku-Scat20231003-133409.nc,41,1.6125439453125,3
199,199,381,-0.318359911441803,381kuka_stare_decon_Ku-Scat20231003-133409.nc,42,1.62017333984375,5
200,200,382,-0.318359911441803,382kuka_stare_decon_Ku-Scat20231003-133409.nc,42,1.62017333984375,4
