,hh,vv,hv,vh
0,0.020316110579078967,0.02313846611157471,0.02298270311818322,0.023004660627182157
1,0.013613291063819541,0.020326548021938985,0.02019269301779308,0.02021189859804992
2,0.006672838281844408,0.013618794658022033,0.01353537636255448,0.01354815161185608
3,0.0021632923438061297,0.006674153514367306,0.006638969587283912,0.006645388882039545
4,0.0003584852609751178,0.0021630167344500167,0.002154947351871773,0.0021575772867433894
5,4.0233029189113724e-05,0.000358463242342287,0.0003588130477925378,0.0003601399192170583
6,7.853251376577352e-05,4.0668906984124826e-05,4.219419526854913e-05,4.327928426153479e-05
7,6.985300862786395e-05,7.892031143461384e-05,8.097479001596373e-05,8.182380180998683e-05
8,3.324977863688293e-05,6.998386575918235e-05,7.219532985815831e-05,7.263556361855941e-05
9,1.522931085050461e-05,3.329201286597103e-05,3.465704758300928e-05,3.473826296673926e-05
10,6.986441488539411e-06,1.533165520793375e-05,1.565317507958897e-05,1.556540723546735e-05
11,8.506942611193065e-07,7.110109865514179e-06,6.99020461429018e-06,6.890768214196685e-06
12,1.2349664551377297e-06,9.015504091046414e-07,8.193803088372475e-07,7.810238735547741e-07
13,6.623195128322585e-06,1.1979110892874903e-06,1.2645326299069402e-06,1.31792617695315e-06
14,1.0684049203028704e-05,6.554767191532033e-06,6.791522093074585e-06,6.9576705082308915e-06
15,1.0930496264693014e-05,1.0643074739649824e-05,1.1062976277100511e-05,1.1334040534656086e-05
16,8.77053216398175e-06,1.0944392866353955e-05,1.14678107504916e-05,1.1787707498782381e-05
17,6.476136227076997e-06,8.841786238018524e-06,9.332170206564891e-06,9.624313941739843e-06
18,5.747650240007507e-06,6.592785851827873e-06,6.9602433712189866e-06,7.1730363229338056e-06
19,6.6473651515342105e-06,5.89340575412815e-06,6.109361154142111e-06,6.233424985486881e-06
20,7.675421390947835e-06,6.822879680486974e-06,6.865346124143071e-06,6.925616227339922e-06
21,7.431390811399305e-06,7.907635050923912e-06,7.742489231011515e-06,7.783220247978709e-06
22,5.807773798947428e-06,7.738710193005165e-06,7.367195108381109e-06,7.427351754826257e-06
23,3.7497683571024537e-06,6.1493327048316176e-06,5.6543471091237895e-06,5.741239062958519e-06
24,2.3473594528906522e-06,4.0304621489461825e-06,3.5476256805515172e-06,3.6378948921737223e-06
25,1.955024220335229e-06,2.4926013922852655e-06,2.123798768714505e-06,2.1962525511245037e-06
26,1.996496907576394e-06,1.977356174575504e-06,1.7367937934880552e-06,1.8000790422050285e-06
27,1.7429412427046554e-06,1.9783730442068645e-06,1.8192417699673039e-06,1.902419094118902e-06
28,1.1033367485144349e-06,1.7569795811647545e-06,1.63613768860682e-06,1.7542940286954088e-06
29,4.7256528979691556e-07,1.1578069861467587e-06,1.0695781101746985e-06,1.2032618464599066e-06
30,1.2066795889567335e-07,5.293076210140227e-07,4.869935743983115e-07,5.969867916260935e-07
31,1.0471906815977104e-08,1.484843192087994e-07,1.480893974334779e-07,2.0863301335225398e-07
32,2.2577536581664913e-08,1.285389048458267e-08,2.2984287127493872e-08,3.893558550502385e-08
33,1.3111867040965956e-07,2.5070343077615084e-08,6.925157992307489e-09,2.0333547202392133e-09
34,4.1520342485255247e-07,1.544929808629569e-07,8.251374288495203e-08,7.622832058975088e-08
35,1.0038413941767176e-06,4.4820920402031867e-07,3.224871598195479e-07,3.0850927602172006e-07
36,1.966910317353161e-06,9.673364776656467e-07,8.399419187357616e-07,7.575341628207492e-07
37,3.153196702566046e-06,1.6897010611087324e-06,1.698531451890905e-06,1.4057329392869886e-06
38,4.119526704201846e-06,2.423150195974577e-06,2.7711744555918677e-06,2.0759171651986413e-06
39,4.3413795813295526e-06,2.831287505721026e-06,3.6686863007683525e-06,2.453311095793774e-06
40,3.624740514999281e-06,2.639455760059282e-06,3.913529605747164e-06,2.277823044962686e-06
41,2.3184207042401968e-06,1.8931346303214134e-06,3.305109342240193e-06,1.5873346996721787e-06
42,1.0780238756275176e-06,9.915705424066703e-07,2.1320546255842803e-06,7.593925981850957e-07
43,4.3203798378589844e-07,4.132828004905246e-07,9.912159267604957e-07,2.6606599586121046e-07
44,5.59499527918759e-07,4.02230150279727e-07,4.0053250091482106e-07,3.6939664977795596e-07
45,1.349991254905938e-06,9.033662247241053e-07,5.658933929934002e-07,1.0282443758828869e-06
46,2.5177586621084575e-06,1.71540259963904e-06,1.3990702983645388e-06,2.022674148806731e-06
47,3.634233513568404e-06,2.61712514883359e-06,2.6079135281556995e-06,3.086449770348248e-06
48,4.201182701889999e-06,3.350599207580213e-06,3.735419980852523e-06,3.91590844252727e-06
49,3.900481426177892e-06,3.605098200424932e-06,4.258972619845421e-06,4.173657222344925e-06
50,2.8597266015338893e-06,3.1801901074154234e-06,3.87011865758216e-06,3.6633539227185553e-06
51,1.6001047353927807e-06,2.2148491771658096e-06,2.7451200405718125e-06,2.559997811198545e-06
52,6.436180138586389e-07,1.1585694620244352e-06,1.456241263574223e-06,1.3611130320162309e-06
53,1.743237744201241e-07,4.3325429240208595e-07,5.355366864106109e-07,5.190696171183795e-07
54,5.890930200758146e-08,1.4701789739245313e-07,1.3525949739428853e-07,1.455004540794795e-07
55,8.722836461568664e-08,1.4110467908364577e-07,8.481865047140461e-08,7.41132836938346e-08
56,1.3439225965903045e-07,2.2074432832267866e-07,1.5729746341976504e-07,1.073673211366983e-07
57,1.659175609517982e-07,2.868437183663427e-07,2.277242180306194e-07,1.479911261941856e-07
58,1.8406840388775703e-07,3.1976130527386467e-07,2.6593848960839617e-07,1.765238117334591e-07
59,1.8870035789464196e-07,3.2536935818662095e-07,2.7839221326120805e-07,1.9667030186284957e-07
60,1.6918919242601737e-07,3.0445186071903883e-07,2.675371137078556e-07,2.065802345556372e-07
61,1.227198526656639e-07,2.5026230393679473e-07,2.2312734328135773e-07,1.9477692195894376e-07
62,6.962050607666389e-08,1.691838723238612e-07,1.451451012052265e-07,1.5775024701606148e-07
63,4.027634605778709e-08,9.418709105943516e-08,6.426296807503825e-08,1.146458986351969e-07
64,5.0552540168834937e-08,6.289640787753617e-08,2.4748989238769613e-08,9.196549147366805e-08
65,9.516837126453116e-08,8.430103579593648e-08,4.965347117187299e-08,9.759489997322898e-08
66,1.5733337602461346e-07,1.35351569331249e-07,1.2949179523721627e-07,1.1954496267201368e-07
67,2.1715270796328963e-07,1.8474587016806193e-07,2.358075148928448e-07,1.4493501744867261e-07
68,2.5745605314014245e-07,2.125943421585622e-07,3.342406495817998e-07,1.7110260235781494e-07
69,2.766826483173251e-07,2.1402545897431278e-07,3.894052607761935e-07,2.0123898146695272e-07
70,3.0443354520410755e-07,1.9718742595476411e-07,3.7468285081048594e-07,2.376130946878547e-07
71,3.953391348058644e-07,1.8180913664654176e-07,2.9347532390799484e-07,2.806180975619915e-07
72,5.863589443550088e-07,1.9102574856830838e-07,1.941960054435889e-07,3.2849300988056916e-07
73,8.473968940305016e-07,2.325420090118032e-07,1.5138532144561453e-07,3.722141637464421e-07
74,1.0801471675090506e-06,2.8476646242992307e-07,2.1378516172163065e-07,3.9269809943911295e-07
75,1.1770842376725819e-06,3.08705108415948e-07,3.612665547117009e-07,3.708293159361119e-07
76,1.0892497991836037e-06,2.798753294891891e-07,5.119653003274115e-07,3.0399048008918347e-07
77,8.494598203055161e-07,2.0901111763192776e-07,5.75912607059094e-07,2.1124616847276237e-07
78,5.464524231785357e-07,1.3252973458292736e-07,5.136629738951835e-07,1.2290135545834553e-07
79,2.7657752774255766e-07,8.510449316190554e-08,3.5830081012572923e-07,6.549007938501706e-08
80,1.0049114542241477e-07,7.814921436726945e-08,1.866959165307961e-07,4.999662085939527e-08
81,2.9030627877054737e-08,9.779045124647571e-08,6.500555593123007e-08,6.688214176040401e-08
82,4.559280986303728e-08,1.2135487440695863e-07,1.713167678583582e-08,9.456910578554217e-08
83,1.365615651603218e-07,1.3865979579913424e-07,3.930379674458785e-08,1.1938230695554822e-07
84,2.9234324328292964e-07,1.618611862157802e-07,1.2947529628975793e-07,1.4993807410146156e-07
85,4.816103047815248e-07,2.193711832447717e-07,2.872580317892102e-07,2.131571717348698e-07
86,6.378876876208404e-07,3.362384065813914e-07,4.855832883245447e-07,3.329740245968117e-07
87,6.850109779154148e-07,5.021388984584411e-07,6.552198472098484e-07,4.983721053580979e-07
88,5.879301657192363e-07,6.479337868331048e-07,7.117673942780901e-07,6.427306677484813e-07
89,3.873181887494649e-07,6.753998057666603e-07,6.129836107062998e-07,6.737774858153801e-07
90,1.803491757062943e-07,5.426328749795119e-07,4.00123248113741e-07,5.53792363321941e-07
91,5.36259607864931e-08,3.216432021030919e-07,1.7814457744227527e-07,3.508776989066253e-07
92,2.6859011912437942e-08,1.4816977182519787e-07,4.097532247421695e-08,1.8838762906963305e-07
93,6.013303129344754e-08,1.0598255535949245e-07,9.095954793843425e-09,1.375951855004292e-07
