,hh,vv,hv,vh
0,0.04373711125792531,0.04376892386519037,0.04377423202540513,0.04375537367276311
1,0.038349621887868536,0.03837706376203364,0.03838164965758163,0.03836483519387235
2,0.025617457386069586,0.025634447006592797,0.025637780981430595,0.025625797299843267
3,0.012668066007710995,0.012674150462105124,0.01267726039401412,0.012670071473986766
4,0.004418933885390304,0.0044179662174493855,0.0044219590668045745,0.004417585129522981
5,0.0010517169012220049,0.001048549898931019,0.0010528404222096862,0.0010497066442102518
6,0.0001942368293897309,0.0001921603332743418,0.00019491954717717713,0.0001930077469052749
7,1.5701166480020685e-05,1.537088325569242e-05,1.5901593924311766e-05,1.5496097169244336e-05
8,3.296054059585155e-05,3.2919329829653804e-05,3.27774506967225e-05,3.295297055765225e-05
9,0.00020893362635308177,0.00020765807057033367,0.00020875346473741484,0.0002080995324486164
10,0.0003546382049571654,0.0003524683513997556,0.0003546020345383024,0.0003531328925870894
11,0.0003146711161242047,0.00031340191294036056,0.00031462477993204316,0.0003138250760300629
12,0.00016170875010619698,0.0001622989867093405,0.00016154270948528872,0.00016230393598058534
13,4.350287013398203e-05,4.492334499801502e-05,4.328190131430818e-05,4.468665733771806e-05
14,6.315633970185633e-06,6.954869757532798e-06,6.131111865334619e-06,6.704984355856643e-06
15,1.4557835117748127e-05,1.4105933927633435e-05,1.4416941721925611e-05,1.3913409509158224e-05
16,3.44734777097259e-05,3.390336047527364e-05,3.4344941704667115e-05,3.3724433058988915e-05
17,5.199724852769684e-05,5.2116299806109064e-05,5.188189508221997e-05,5.192271236087186e-05
18,5.758899643740279e-05,5.823119472991841e-05,5.7513089514036906e-05,5.805170185043723e-05
19,4.7624280637693236e-05,4.816755752061683e-05,4.759318183863525e-05,4.8038720135629544e-05
20,2.9452634002903523e-05,2.9606528048913685e-05,2.9437194782107235e-05,2.952785552220604e-05
21,1.3734149513648848e-05,1.366489682530407e-05,1.3699619828839888e-05,1.360922413294258e-05
22,5.244250657462682e-06,5.20852574862329e-06,5.180150243554881e-06,5.1573444380240754e-06
23,2.7016210756348165e-06,2.774316433907967e-06,2.62249181891283e-06,2.732134356680109e-06
24,3.3788403167553326e-06,3.471392493760555e-06,3.3049847826548227e-06,3.4536128753377265e-06
25,5.926425810469767e-06,5.926785316242018e-06,5.868216295928224e-06,5.943355911523302e-06
26,1.0396423436360214e-05,1.0264726202155783e-05,1.0351141882955793e-05,1.0313292566393877e-05
27,1.68620568088081e-05,1.6651707552419392e-05,1.681723006346513e-05,1.6717675288311356e-05
28,2.3490083484255747e-05,2.3320629702810244e-05,2.3427879840849196e-05,2.337965659762158e-05
29,2.5452401875987457e-05,2.5454115306165705e-05,2.5361401372241057e-05,2.5481098966832873e-05
30,1.816865862151924e-05,1.841589674786754e-05,1.8070866786881543e-05,1.8407291736057128e-05
31,8.013819525444837e-06,8.460076068997786e-06,7.980682613873105e-06,8.459420204555935e-06
32,2.551109666393914e-05,2.5915346837699737e-05,2.5604672304135324e-05,2.6009034564657066e-05
33,0.00012329785983197425,0.000123143900209037,0.00012342853602345625,0.00012340870624090537
34,0.0003421696104339234,0.0003406722525246832,0.00034200953893684675,0.00034111384392652
35,0.0006587255173286484,0.0006550735344873494,0.0006578575392493603,0.0006556231623210695
36,0.0009649337253789253,0.0009587725918824123,0.0009631950995134194,0.0009593488028508413
37,0.0011200767040301027,0.0011119622153051788,0.0011177820532360012,0.0011125228977701244
38,0.0010472339285100894,0.0010386825678096463,0.001045013661791496,0.001039207632565283
39,0.000790174571887527,0.0007831334061889498,0.0007885521349193974,0.0007835774110326231
40,0.0004769069253081048,0.00047283152733895777,0.0004760082364748498,0.00047312768102860227
41,0.0002264819623931328,0.00022555907732464895,0.00022609908005587217,0.0002256786722248257
42,8.385448517159282e-05,8.500372289117173e-05,8.37095262928078e-05,8.499077886044235e-05
43,2.600680618190106e-05,2.7823709901797463e-05,2.5930577586193247e-05,2.7754259026887174e-05
44,9.945237566860886e-06,1.1837657064017899e-05,9.873393762093254e-06,1.175155206596214e-05
45,8.862420536851008e-06,1.1252413805869927e-05,8.758699297046147e-06,1.113717452928271e-05
46,1.482445636579112e-05,1.819458956232111e-05,1.4648180946782883e-05,1.8031781443214618e-05
47,2.4617203225933865e-05,2.85050939470187e-05,2.4343160580366018e-05,2.8316989855322788e-05
48,3.20750834789219e-05,3.5164637153438785e-05,3.171560261104688e-05,3.5007873146043476e-05
49,3.202436711472881e-05,3.313278670992723e-05,3.1627071545008024e-05,3.3052135009696715e-05
50,2.553841753174255e-05,2.4351021888919057e-05,2.5168488308067003e-05,2.434679592275601e-05
51,1.8152807259213365e-05,1.5140756720363619e-05,1.787266407024432e-05,1.5178854653296264e-05
52,1.3907906991587543e-05,9.896362550842441e-06,1.3756048869056913e-05,9.940255641955199e-06
53,1.2742696361052537e-05,8.644953219496378e-06,1.271472591633749e-05,8.674638338196277e-06
54,1.2859609627367086e-05,9.481446642950946e-06,1.290689321053636e-05,9.492527249955528e-06
55,1.3319456081300736e-05,1.104955854154702e-05,1.3377877032808659e-05,1.1049125655134713e-05
56,1.371552709255294e-05,1.2361403239873205e-05,1.3747925702313834e-05,1.2366847204180323e-05
57,1.3040552814065175e-05,1.2107148845024579e-05,1.3054231100526742e-05,1.213702947477015e-05
58,1.039525668301506e-05,9.574053305390667e-06,1.0417065569841774e-05,9.630213195507734e-06
59,6.412592345726848e-06,5.771157296912751e-06,6.450220944278228e-06,5.831499312733691e-06
60,2.940250868386927e-06,2.684712331562416e-06,2.9720232295593915e-06,2.719407645191179e-06
61,1.2762298886887167e-06,1.439337509998931e-06,1.2755713121405344e-06,1.4353599628913898e-06
62,1.2319278567177425e-06,1.6229656961681426e-06,1.1941206094265883e-06,1.5921193577404055e-06
63,1.822463181943407e-06,2.2071103915327576e-06,1.7659544415065769e-06,2.1729528417065404e-06
64,2.324699540316784e-06,2.5873053161430304e-06,2.2727676481909873e-06,2.567640917524548e-06
65,2.5873989162557314e-06,2.738985827263816e-06,2.553276342240928e-06,2.7393612503954693e-06
66,2.733030341835463e-06,2.8336335514542635e-06,2.7187974869258884e-06,2.852165818305811e-06
67,2.7964296326609796e-06,2.9090281936480565e-06,2.7982019106508e-06,2.9428960351966437e-06
68,2.5670654440832896e-06,2.752628730228367e-06,2.57798160572762e-06,2.798132448085497e-06
69,1.7915335113188434e-06,2.0729253821371952e-06,1.8036962172844685e-06,2.120665404993264e-06
70,7.271947264038545e-07,1.009500316181387e-06,7.371755502237983e-07,1.0451793905912973e-06
71,5.252551571990525e-07,5.708811367806902e-07,5.411936717682113e-07,5.87909224335581e-07
72,2.7231980185452667e-06,2.269798126883452e-06,2.7648515434226386e-06,2.2818709173290215e-06
73,7.843675864434098e-06,6.8015239383496216e-06,7.929990189949782e-06,6.835101885978163e-06
74,1.4215947371273434e-05,1.276455492490203e-05,1.4347159125725563e-05,1.2831998661478352e-05
75,1.845631536849561e-05,1.6938344646565592e-05,1.86069094810201e-05,1.7020632169343545e-05
76,1.7810409258634317e-05,1.652524173438099e-05,1.7942396744427925e-05,1.6587403473193714e-05
77,1.2525746397451054e-05,1.1614861826897098e-05,1.261232562919956e-05,1.1638683067986072e-05
78,5.828633701358507e-06,5.308420457317537e-06,5.8677074210509705e-06,5.305539755246618e-06
79,1.2616632770997091e-06,1.0850329693908312e-06,1.2702672545487223e-06,1.0786606196832112e-06
80,5.081436263007563e-09,6.42791419694316e-08,4.764898891539e-09,6.496794354703595e-08
81,7.693898571870663e-07,9.15347095240209e-07,7.756778716952147e-07,9.173543072170528e-07
82,1.8034673525107773e-06,1.955851276614465e-06,1.821242968877292e-06,1.9505748065754686e-06
83,2.427012341774924e-06,2.6561410843321528e-06,2.448661926419937e-06,2.641773787351987e-06
84,2.7672226720121867e-06,3.1825758521436253e-06,2.776345831931423e-06,3.161939643854553e-06
85,2.8291025823862517e-06,3.3653863013344236e-06,2.812783178831281e-06,3.341216219204734e-06
86,2.3616157879843147e-06,2.7561769124999414e-06,2.3229434839490865e-06,2.73153305799514e-06
87,1.4030419142359749e-06,1.4524561916626155e-06,1.360485592729049e-06,1.4326781934563882e-06
88,4.776042729546145e-07,2.8616374763054435e-07,4.505352271945704e-07,2.7698574427378277e-07
89,1.26984491747048e-07,4.1129037523793295e-08,1.2170308618975884e-07,4.477939470194939e-08
90,4.069539444536035e-07,7.048609542272739e-07,4.1543588437691036e-07,7.18986925053261e-07
91,9.233855015097087e-07,1.5990342827155011e-06,9.322960509638312e-07,1.6188597649232952e-06
92,1.2720633102942598e-06,2.1027088067203314e-06,1.2716815698158452e-06,2.123210780790021e-06
93,1.3567038689564373e-06,2.124127357469959e-06,1.3443560334708794e-06,2.1407498718370344e-06
94,1.3177039215238929e-06,1.9550619289555896e-06,1.2974170257155125e-06,1.9642538377516614e-06
95,1.2791583367955484e-06,1.859515393381986e-06,1.2599281675397777e-06,1.8599755649888382e-06
96,1.2594430876344123e-06,1.8882962884660382e-06,1.2518524732159283e-06,1.881931711023349e-06
97,1.2930301914301723e-06,1.9940848516185097e-06,1.3039910236276149e-06,1.9854630115533735e-06
98,1.5006913534372513e-06,2.160003288673138e-06,1.5288408316771155e-06,2.1543285373068435e-06
99,1.940870366818197e-06,2.3523190375884205e-06,1.9764299760319744e-06,2.352918085284264e-06
100,2.435258406568401e-06,2.4364676680208903e-06,2.4655181568851864e-06,2.44304517913913e-06
101,2.6575094300636483e-06,2.262872861563053e-06,2.674403607739853e-06,2.2716372522853675e-06
102,2.4379231833398706e-06,1.8532190239618154e-06,2.4419323147028777e-06,1.8589963439521278e-06
103,1.9296680911601806e-06,1.424282318901056e-06,1.927298493767753e-06,1.4232357658074145e-06
104,1.442253347950227e-06,1.182014516092092e-06,1.4400369884090192e-06,1.1731888200940087e-06
105,1.1561162510987344e-06,1.1311386339759797e-06,1.1566099034647074e-06,1.1163223892820173e-06
106,1.0371051140226521e-06,1.1237633022796704e-06,1.0394111773301738e-06,1.1064071293302705e-06
107,9.776156682899293e-07,1.0556950608585803e-06,9.803949708173043e-07,1.0395487279133173e-06
108,9.396381849469783e-07,9.619159433768227e-07,9.432921317082039e-07,9.496910990868803e-07
109,9.545763591484377e-07,9.382770013196737e-07,9.612933069360852e-07,9.30958155143629e-07
