,hh,vv,hv,vh
0,0.020338454324408537,0.023192277388363363,0.023020562543430427,0.023026982781057134
1,0.013614149079496984,0.02036795386531849,0.020226066317362214,0.02023133110771748
2,0.0066579181549041135,0.01363293427318354,0.013558083448991926,0.013560644402603007
3,0.0021475157100225343,0.006666181610678662,0.006650654534772163,0.006650658215643743
4,0.00035186189073452046,0.0021497182648582062,0.0021593510084498228,0.0021582862650277603
5,4.204562652032785e-05,0.00035234861536405403,0.0003599891939150664,0.00035942435396747616
6,8.256154466829919e-05,4.265775708316217e-05,4.2389984294618146e-05,4.289832929327016e-05
7,7.190158775605867e-05,8.326193488037369e-05,8.09117343632341e-05,8.200738157843647e-05
8,3.328021549831177e-05,7.234202756840822e-05,7.205973404412906e-05,7.29656755394346e-05
9,1.479985660667658e-05,3.346410664989483e-05,3.454028758029707e-05,3.490873681272825e-05
10,6.835387171262376e-06,1.4873381845963274e-05,1.557251365991327e-05,1.555806496530833e-05
11,8.220677654592136e-07,6.8554085457539995e-06,6.92878524479267e-06,6.819052394054639e-06
12,1.1921917572320413e-06,8.125269905480782e-07,7.952512246774899e-07,7.446233702946064e-07
13,6.753425391014897e-06,1.235634648998997e-06,1.3118350414599065e-06,1.3626200960346952e-06
14,1.118013806963872e-05,6.932458414041402e-06,6.91015939555033e-06,7.083928240752764e-06
15,1.1733391711142824e-05,1.1478868066443904e-05,1.122003436555431e-05,1.1512076965918736e-05
16,9.619199519175467e-06,1.2050708438939732e-05,1.162758966387186e-05,1.1974896622599173e-05
17,7.0819614042791925e-06,9.868871416497668e-06,9.469041173162566e-06,9.784267600192671e-06
18,5.9197690312557875e-06,7.254368333553834e-06,7.0573370314449205e-06,7.290141375511345e-06
19,6.337699298989666e-06,6.061285978331264e-06,6.159740550558732e-06,6.3154418324901354e-06
20,6.970066556140696e-06,6.505598570101621e-06,6.87391302941022e-06,6.990705302235469e-06
21,6.5154977022182915e-06,7.206353620095168e-06,7.72233909190536e-06,7.841668971427138e-06
22,4.9135735881988005e-06,6.825942675985097e-06,7.3337031385328014e-06,7.4774215967726175e-06
23,3.0810210805478216e-06,5.251184132118299e-06,5.623207593358613e-06,5.7818404997301305e-06
24,1.9947315364554346e-06,3.3692268569281557e-06,3.534704903986015e-06,3.6775546739332736e-06
25,1.8613764859553513e-06,2.1888669360956726e-06,2.1392571575415458e-06,2.2448309514554257e-06
26,2.018475012163004e-06,1.984437922816195e-06,1.7758197014880534e-06,1.8564821330294198e-06
27,1.7647707777381695e-06,2.128217982877789e-06,1.8628936542599094e-06,1.955880018993942e-06
28,1.0976886226417752e-06,1.8922895957312907e-06,1.6660897592373867e-06,1.7955039140204997e-06
29,4.6554290549411834e-07,1.2254032282723287e-06,1.081469215209494e-06,1.2304229918338186e-06
