,hh,vv,hv,vh
0,0.02084614443584191,0.023769736990158174,0.02355440144420906,0.02356425616528949
1,0.013979458541367553,0.02088723775128067,0.020701206635101298,0.020709958899871206
2,0.0068634976698696264,0.014008129487516854,0.013890756685443725,0.013896861028093482
3,0.0022314749432863204,0.006878521635732142,0.006829125530393403,0.006832461791599538
4,0.00036906516598304986,0.002236643342001645,0.002227191413513436,0.0022287289126467625
5,3.434871275324933e-05,0.00036953159916603383,0.00037219877500156766,0.00037304077097635084
6,7.151698806063598e-05,3.374437220967837e-05,3.613835754629059e-05,3.6835987292834505e-05
7,6.456318523088294e-05,7.128433570911211e-05,7.279290204507254e-05,7.334465102102331e-05
8,2.9641525609878873e-05,6.475374762197115e-05,6.693268128349654e-05,6.719386587149146e-05
9,1.3077542306914782e-05,2.9901652621543894e-05,3.2409660033660296e-05,3.2399654089399084e-05
10,6.094159826549973e-06,1.3189121419409636e-05,1.5020688337249728e-05,1.49030243518151e-05
11,8.141235074214476e-07,6.071076403890118e-06,6.973476827807555e-06,6.880034803620502e-06
12,1.1661463147812452e-06,7.861874653191238e-07,1.077228439409369e-06,1.036717451978061e-06
13,5.563992889869508e-06,1.2426799173262139e-06,1.2806400341297286e-06,1.2867461427199469e-06
14,8.451809563865958e-06,5.75848295292248e-06,5.820535319546028e-06,5.88944968921925e-06
15,8.174550870083575e-06,8.692482990144069e-06,8.956269399326474e-06,9.09756472900474e-06
16,6.176970976966651e-06,8.385743456449251e-06,8.869810779379665e-06,9.04793933776509e-06
17,4.256355262826176e-06,6.341225129824434e-06,6.968654889490452e-06,7.1247426713665425e-06
18,3.828315508099542e-06,4.380010025011631e-06,5.1036909401267175e-06,5.201614727050169e-06
19,4.957471146151359e-06,3.880710906877771e-06,4.668720713808362e-06,4.710335444229815e-06
20,6.186688341751941e-06,4.903298391098443e-06,5.625149852112062e-06,5.638345082733884e-06
21,6.155776414272939e-06,6.067655004614622e-06,6.4945487732953e-06,6.516685800282592e-06
22,4.802193661196765e-06,6.075193911526157e-06,6.054412068494278e-06,6.111407277819442e-06
23,2.999654896757413e-06,4.815341017247499e-06,4.451466525864454e-06,4.537492224106744e-06
24,1.6719441149285647e-06,3.0638412862976582e-06,2.706018448272516e-06,2.787727280663128e-06
25,1.1542224594717818e-06,1.7153936081372378e-06,1.7217170740301602e-06,1.7718145311737743e-06
26,1.082999422494803e-06,1.154904274462559e-06,1.6244581468038733e-06,1.6509903090707614e-06
27,9.352118578632469e-07,1.0653764378397808e-06,1.7838981978871746e-06,1.8218422587094465e-06
28,5.922540632826239e-07,9.22577787453149e-07,1.5668173432303365e-06,1.6407360233964366e-06
29,2.6308796833789176e-07,5.861815813363917e-07,9.7221858699507e-07,1.070660762740787e-06
30,9.24417019088814e-08,2.5608328199185773e-07,4.0315514451461617e-07,4.905785187382303e-07
31,5.362616781793127e-08,8.157266061338429e-08,9.74859959906097e-08,1.4722411019351907e-07
32,8.509937423420014e-08,4.15574773657795e-08,5.163517893949123e-09,1.733390352065685e-08
33,1.807364110688692e-07,7.653897438420387e-08,1.7535512067142335e-08,9.745927493699503e-09
