,hh,vv,hv,vh
0,0.043797371395759364,0.04378289415490989,0.04383380499182253,0.04379784642166763
1,0.038485333506629846,0.0384760911435197,0.038517584326073565,0.03848931665388777
2,0.025890523079090587,0.025891672667984356,0.025912748137871623,0.02590086780592741
3,0.012982386812460606,0.012989495325427255,0.012994069475639417,0.012994661554724072
4,0.004634644773030035,0.0046400178064093635,0.004639153416023961,0.004642581306884625
5,0.0011275415009559969,0.0011282180512030733,0.001128725338783613,0.0011294892324048584
6,0.00019495174931709197,0.00019337011114317127,0.00019510414941181355,0.00019395120955299671
7,1.3014149023409685e-05,1.22032884008315e-05,1.3012953551655866e-05,1.2353698719774935e-05
8,4.062029220666513e-05,4.125852142348598e-05,4.078935536030986e-05,4.124660881604325e-05
9,0.0002076586551627754,0.00020918055980183428,0.00020813729030661702,0.0002092122585014904
10,0.00033992052272948086,0.00034213408825479704,0.00034063036165178406,0.00034222034947393716
11,0.000301433445163421,0.00030429085250660565,0.00030213063657057117,0.0003043361338665811
12,0.0001595921991114927,0.0001624934335627272,0.00016005976581909991,0.00016245109634373692
13,4.742363933681107e-05,4.961331098556498e-05,4.759838347885593e-05,4.9510525608237895e-05
14,8.898905917884301e-06,1.0289770902088585e-05,8.855919561492511e-06,1.016274372402448e-05
15,1.5510683590795656e-05,1.669522263433441e-05,1.5371326789120455e-05,1.655759735330695e-05
16,3.578004581712353e-05,3.7315929115277436e-05,3.562653229827587e-05,3.7178779640315796e-05
17,5.163588876374395e-05,5.351985520961993e-05,5.1487940030614435e-05,5.340845001692249e-05
18,5.213357093117016e-05,5.3910265657615715e-05,5.198594202654549e-05,5.384921745541807e-05
19,3.776643870857545e-05,3.899385264796757e-05,3.762714612804399e-05,3.898173465936521e-05
20,1.9630126645001262e-05,2.0219521765131952e-05,1.9516116639375527e-05,2.0226139912953103e-05
21,7.391812148795825e-06,7.583262240572092e-06,7.306401436232134e-06,7.574509268556971e-06
22,2.392635124072642e-06,2.4890499496518702e-06,2.3236774477041625e-06,2.451780936057796e-06
23,1.4144026375026921e-06,1.5740047961077745e-06,1.3493110966256363e-06,1.516446843899153e-06
24,1.9613876519588233e-06,2.2090681034081646e-06,1.8942605295797476e-06,2.1432898432310896e-06
25,3.526592614784445e-06,3.8932994764885515e-06,3.4538642738573494e-06,3.822640996466418e-06
26,6.774437227138146e-06,7.381970724521707e-06,6.6936633763395045e-06,7.305120254521205e-06
27,1.2675981773721534e-05,1.365277563131214e-05,1.2592671122684147e-05,1.3578767605380455e-05
28,2.0912332317321226e-05,2.2170468826287867e-05,2.084041082325366e-05,2.212783388056536e-05
29,2.730046595090599e-05,2.841949969215124e-05,2.7246049740518422e-05,2.8441990719178785e-05
30,2.4622865093631925e-05,2.5142120878723295e-05,2.457268854012587e-05,2.5232836132567512e-05
31,1.3814385825317658e-05,1.3794020247260161e-05,1.3757263953201434e-05,1.389888760928268e-05
32,2.2337249780035264e-05,2.246739589327127e-05,2.229192513175976e-05,2.2490897623053438e-05
33,0.00010700202969700938,0.00010779348022003191,0.00010698282735124268,0.00010765322966181383
34,0.0003173349282690025,0.00031808628268439404,0.0003172582398859827,0.00031776643005755427
35,0.0006340633552274742,0.0006329239393919945,0.0006337162437449262,0.0006324869886393527
36,0.000943351218042026,0.0009387860900487502,0.0009425226353354521,0.0009383348454804787
37,0.0010945588287979992,0.0010869149734736739,0.0010932500126764762,0.0010865338268186738
38,0.0010079713746255726,0.0009996005667369493,0.0010064721792052763,0.0009993205168229683
39,0.000735734448698898,0.0007295135748033939,0.0007344585888232067,0.0007293223263104273
40,0.00041766497593857045,0.00041516277641306845,0.0004168781392892099,0.00041503798067019847
41,0.00017706322368449292,0.00017774498788209234,0.0001767456008566077,0.00017767241917764336
42,5.2529423438454023e-05,5.4484351371814696e-05,5.2471846113431996e-05,5.445176298419668e-05
43,1.0716411423468799e-05,1.2282625431112741e-05,1.0721411133570755e-05,1.2272074736082144e-05
44,2.908524499145259e-06,3.895907278006571e-06,2.900715789791983e-06,3.889763886017676e-06
45,4.0298455746278575e-06,5.509186840073542e-06,4.018418627650871e-06,5.497581332580347e-06
46,1.1504462909044181e-05,1.4398149146087492e-05,1.1497320437328817e-05,1.4374506067790143e-05
47,2.5257886540149318e-05,2.916067445762379e-05,2.5233102930073133e-05,2.9115462912301503e-05
48,3.750826927395686e-05,4.0894356959826544e-05,3.7444562510767616e-05,4.0823003984711065e-05
49,3.931340563554974e-05,4.0755132145937075e-05,3.921733278049265e-05,4.0672346682062255e-05
50,3.0492626247058912e-05,2.9569443492551447e-05,3.0389698118809428e-05,2.9506307327691153e-05
51,1.9428572040389268e-05,1.6682171039585622e-05,1.9338447411649576e-05,1.6661859908795322e-05
52,1.3968389951847433e-05,1.040588498810964e-05,1.3894478026576149e-05,1.042353792297384e-05
53,1.4809558057648396e-05,1.1551528325309186e-05,1.4747923166106821e-05,1.1581492241672612e-05
54,1.7590927202421266e-05,1.5591869718670587e-05,1.754187177907138e-05,1.56129278537416e-05
55,1.8693472076662594e-05,1.8325819106701562e-05,1.866156264549367e-05,1.8335261906772948e-05
56,1.7458535027939502e-05,1.8266333300215157e-05,1.7444178549672627e-05,1.827125811578105e-05
57,1.4494143297658364e-05,1.5534664904127122e-05,1.448979615016836e-05,1.553746923872664e-05
58,1.0313132196956259e-05,1.0875695004193694e-05,1.0308932066277951e-05,1.087302837167972e-05
59,5.766964475758919e-06,5.791321365401795e-06,5.757690144329405e-06,5.783859787647528e-06
60,2.2312904663456768e-06,2.1045728929263657e-06,2.2171095861323398e-06,2.101406184144092e-06
61,5.910776150695992e-07,6.655447897059508e-07,5.744116996946519e-07,6.769922928759323e-07
62,5.122716980010142e-07,8.447972229442907e-07,4.960081320308246e-07,8.732526691821365e-07
63,1.0076588762750701e-06,1.447257067815068e-06,9.946982594216309e-07,1.4864605261133057e-06
64,1.3852091029695271e-06,1.7828295519993475e-06,1.3772898064400794e-06,1.824521151511955e-06
65,1.5040159359717702e-06,1.8170365237218234e-06,1.500772800794029e-06,1.8567488156280674e-06
66,1.4615742839916828e-06,1.7251625402189367e-06,1.4613564843689635e-06,1.762557660037217e-06
67,1.3055443437852345e-06,1.5670174669110553e-06,1.3068838169485281e-06,1.602831671117749e-06
68,9.828557116570916e-07,1.2598794546331933e-06,9.849296078825158e-07,1.2931597353376598e-06
69,5.240931605036824e-07,7.699085925506156e-07,5.258289197009276e-07,7.971640682647746e-07
70,3.8619471128722075e-07,4.509427956480196e-07,3.838366765878727e-07,4.6765061978493e-07
71,1.5448313282251769e-06,1.1893677091332009e-06,1.5290884346360869e-06,1.193321339577915e-06
72,4.861556819530715e-06,3.8807874312521626e-06,4.818835471607453e-06,3.874142891849569e-06
73,9.984855799374852e-06,8.384299623501814e-06,9.905747086332723e-06,8.370975430698825e-06
74,1.4882936989435308e-05,1.2949386838518897e-05,1.4772505634954972e-05,1.2930416951817912e-05
75,1.6869781903537072e-05,1.5038530207055407e-05,1.674916926704908e-05,1.501260409870293e-05
76,1.4597835013945847e-05,1.3212280768630545e-05,1.4494043330410481e-05,1.3182232130870629e-05
77,9.28257149654412e-06,8.448365964804425e-06,9.214356696977605e-06,8.423808428082595e-06
78,3.853776235887209e-06,3.4747804250228815e-06,3.823270292886206e-06,3.4640186669379365e-06
79,6.819611336291856e-07,5.799579204198057e-07,6.755495471016786e-07,5.799313316958998e-07
80,2.1657369407823704e-08,2.3740976437179525e-08,1.8823503605585584e-08,2.222506334717252e-08
81,5.468540536813301e-07,5.469333292930615e-07,5.327315360739636e-07,5.359115289229203e-07
82,1.0848653774055618e-06,1.110481753921452e-06,1.0584724206783542e-06,1.0942649974762958e-06
83,1.5364351694770068e-06,1.740673083084757e-06,1.5075378469261306e-06,1.7291854190352633e-06
84,2.2456066036708663e-06,2.7423808981583542e-06,2.2231352599518296e-06,2.739215993339164e-06
85,3.009754555207356e-06,3.677184063634824e-06,2.993695359726195e-06,3.6770496360149533e-06
86,3.11232249336643e-06,3.6169607910376794e-06,3.096692216887759e-06,3.6134396923101644e-06
87,2.228463241913474e-06,2.3156261107887253e-06,2.210193053012158e-06,2.3083031732575247e-06
88,9.333416078437814e-07,6.988736914607167e-07,9.165232741011482e-07,6.926091915069376e-07
89,1.683271513121877e-07,7.78345429922189e-09,1.6017174269437596e-07,7.409053281293575e-09
90,3.589156780090036e-07,6.336074040101656e-07,3.627439522240889e-07,6.405697286947613e-07
91,1.1703544210933854e-06,1.9274592102170948e-06,1.1825010335974368e-06,1.9402606484082774e-06
92,1.978153096380623e-06,2.9771566675945694e-06,1.9908270030672293e-06,2.9931447448388877e-06
93,2.3742895810389615e-06,3.3382169592537515e-06,2.3813218863227004e-06,3.354498113042025e-06
94,2.2685764117131423e-06,3.084007798553821e-06,2.269431260348529e-06,3.0975292757350713e-06
95,1.7705263432628354e-06,2.4744312941287357e-06,1.7700477296133446e-06,2.482359661584214e-06
96,1.1486596131879323e-06,1.7793085537542054e-06,1.1534564808994598e-06,1.7801448054505543e-06
97,8.104522768499871e-07,1.3039143732445006e-06,8.247236238470448e-07,1.298522777045918e-06
98,1.0965010260998899e-06,1.320447624004395e-06,1.1195709802560987e-06,1.3117845894459052e-06
99,1.965546695458724e-06,1.8345683836070928e-06,1.991949244994029e-06,1.8259028846383234e-06
