,hh,vv,hv,vh
0,0.02090609648345152,0.023850777175300448,0.02371035510152924,0.02372111303666783
1,0.014022899384584776,0.02095909406013078,0.020835276836420228,0.020844676243026113
2,0.006889316491143951,0.014058189471201165,0.013973682826280313,0.0139798640917152
3,0.0022449351378719127,0.006906283224581046,0.006862180195436672,0.006865115556870585
4,0.000376281133099122,0.002250175033862038,0.002232996493344834,0.0022340032639248837
5,3.877926625138513e-05,0.00037721106844405204,0.000373047981910231,0.00037352074401093263
6,7.41807132361485e-05,3.938626142924637e-05,4.0817055462527345e-05,4.1381146209249395e-05
7,6.578115598259174e-05,7.510180963033968e-05,7.912766322218423e-05,7.971107847310721e-05
8,2.991864698172117e-05,6.648617491480924e-05,7.101042631613418e-05,7.138599764088549e-05
9,1.2918160575947862e-05,3.0195676620257393e-05,3.355457493531917e-05,3.368626337058937e-05
10,5.798263004355614e-06,1.2969181271218797e-05,1.472686349950301e-05,1.4727786759487318e-05
11,6.507795306467557e-07,5.815184867425959e-06,6.479914584082663e-06,6.447685363624475e-06
12,1.4287666696207814e-06,6.506316317589736e-07,8.042191700236568e-07,7.835114411101929e-07
13,6.293027079399749e-06,1.3859951427853824e-06,1.4001142447897781e-06,1.437124262993297e-06
14,9.334938169283148e-06,6.259648866103512e-06,6.431598332609779e-06,6.575395912495824e-06
15,8.905160708072698e-06,9.399528655163903e-06,9.900166893373914e-06,1.0147777758321233e-05
16,6.739293237942249e-06,9.091784136024477e-06,9.825610268485472e-06,1.0112287600279479e-05
17,4.690664879856048e-06,6.984036829061337e-06,7.720294780364639e-06,7.975407594256356e-06
18,3.920185094610159e-06,4.905679312247238e-06,5.563129649028752e-06,5.7566419542843155e-06
19,4.4279548903698885e-06,4.06273475412115e-06,4.769607022694039e-06,4.9092708539212455e-06
20,5.098696578431541e-06,4.512096532013553e-06,5.388471307619291e-06,5.499500846882226e-06
21,4.898181473193319e-06,5.157045569037706e-06,6.1296910691108585e-06,6.242569812252543e-06
22,3.718198038302799e-06,4.945005719091168e-06,5.816944359957979e-06,5.952740069956808e-06
23,2.2225124937718797e-06,3.750039625193254e-06,4.395011952481885e-06,4.547094951790494e-06
24,1.2693501585541627e-06,2.2406459111067655e-06,2.670831472654834e-06,2.806739813876227e-06
25,1.1925936752496264e-06,1.2864074078853393e-06,1.5616741985172932e-06,1.6532996111355667e-06
26,1.4907834272757233e-06,1.2194586751159235e-06,1.3665536150133911e-06,1.419833966896729e-06
27,1.4580018627183742e-06,1.529039675935714e-06,1.5629856835797557e-06,1.6134879863116985e-06
28,9.742491396250436e-07,1.5042929916734344e-06,1.474804117328743e-06,1.5519502618424872e-06
29,4.224553776083062e-07,1.0215341680025654e-06,9.997686684105848e-07,1.097813770457731e-06
30,9.806278426961231e-08,4.58399966340717e-07,4.856094171600616e-07,5.720218204589878e-07
31,1.5226043316700662e-09,1.1351748910979245e-07,1.7437587185650003e-07,2.2356090414927105e-07
32,3.8216966192654686e-08,2.4727444550312848e-09,4.1735460475996184e-08,5.575554417349485e-08
33,1.8017287834416343e-07,4.2400304414234826e-08,1.8163478459371264e-09,1.032817862254115e-09
34,4.7288807924035567e-07,1.986661847268037e-07,4.974165359782744e-08,5.0637556255397934e-08
35,9.928525402814208e-07,4.879830906021545e-07,2.5922878752584554e-07,2.538465099625237e-07
36,1.7763901434792067e-06,9.321174654274622e-07,7.413319178702529e-07,6.696644656273537e-07
37,2.7076748595732095e-06,1.4951528405137525e-06,1.563055251503103e-06,1.2870742374932067e-06
38,3.4587870858711275e-06,2.0277592889362247e-06,2.607375265610278e-06,1.9416211336822042e-06
39,3.629359181347384e-06,2.2875933351858653e-06,3.4956164960491077e-06,2.328830557593765e-06
40,3.0545515107166585e-06,2.0835000980601205e-06,3.752388878656795e-06,2.1858112026380768e-06
41,1.9910768931225862e-06,1.4624707660709987e-06,3.1695258505179008e-06,1.5337206399208329e-06
