,hh,vv,hv,vh
0,0.02046296139289063,0.023320990171239554,0.023281831485794106,0.023291300902750434
1,0.013714856007742082,0.020489302379324986,0.020455375610510976,0.020462889096941928
2,0.006724927784460271,0.013732824256661266,0.013711253951340893,0.013714369032142881
3,0.002180897194150703,0.006734387782028712,0.006725175602755628,0.006724500997613783
4,0.0003616947895452802,0.002184960064737397,0.002182899155323784,0.0021810324963811717
5,4.205703638765516e-05,0.0003635544201661205,0.00036316572303878795,0.0003623269228279089
6,8.226547768083738e-05,4.320894537715448e-05,4.20317953729484e-05,4.267461735537425e-05
7,7.374534309463775e-05,8.285869432906977e-05,8.12051668691535e-05,8.246325197620394e-05
8,3.561920713452401e-05,7.368638047678289e-05,7.256690309412762e-05,7.35249424735755e-05
9,1.60912019792384e-05,3.512608781877245e-05,3.483511600200366e-05,3.524488365890659e-05
10,7.138022758741035e-06,1.5559314697868812e-05,1.5707601830886356e-05,1.580007151130372e-05
11,8.662829690321093e-07,6.824512808076191e-06,6.986662745074396e-06,6.997016257074201e-06
12,1.3239651628569187e-06,7.831802467509619e-07,8.261663037434524e-07,8.218901390874485e-07
13,6.859916435655076e-06,1.3632669274280396e-06,1.3255699849485774e-06,1.32363093862403e-06
14,1.1097071845002155e-05,6.948628937404952e-06,6.852335848213133e-06,6.9086610275991875e-06
15,1.1473415811348766e-05,1.1226767271193746e-05,1.1058520377268225e-05,1.1218433601536878e-05
16,9.346110569391454e-06,1.1640258261605698e-05,1.1413819729909205e-05,1.1654939350181851e-05
17,7.002930670729875e-06,9.517804163577409e-06,9.282292893179611e-06,9.539971328182704e-06
18,6.172573201447158e-06,7.142995643877837e-06,6.9433239193842016e-06,7.16497215993124e-06
19,6.912942804071826e-06,6.2719987119379614e-06,6.124532029242095e-06,6.291727676059481e-06
20,7.725309408724542e-06,6.9946701509216045e-06,6.88786441046862e-06,7.014490511744747e-06
21,7.261166348994472e-06,7.8245099046245e-06,7.728587976761429e-06,7.850709977280842e-06
22,5.4845291587041815e-06,7.395939162144666e-06,7.283267696754067e-06,7.432628541241508e-06
