,hh,vv,hv,vh
0,0.04523430064944243,0.0452114529898072,0.045225884338873125,0.045188471773324176
1,0.039643133828309696,0.039623637773500156,0.039637036870621666,0.039604978643184595
2,0.02643580919667136,0.02642362645518916,0.02643501435250839,0.026414981900428663
3,0.01302000134459395,0.013013827103835907,0.013023875653449049,0.013014557778656496
4,0.004500233141626878,0.004496301985630946,0.004505465156774137,0.004501176702755862
5,0.00105182921558758,0.001048229024753994,0.001055297071404204,0.0010521301038195464
6,0.00019460719154624242,0.0001921116834924755,0.00019557725916051282,0.00019333768875015624
7,1.871044417108359e-05,1.8111160149679254e-05,1.8602681695738594e-05,1.8024831437523277e-05
8,2.7740612746136015e-05,2.7962039616976296e-05,2.8169913076836837e-05,2.841763053565761e-05
9,0.00019798892337876257,0.0001974259804419566,0.00019927496562503885,0.0001988797779086138
10,0.0003458585753912585,0.0003445604197761892,0.00034723283601927773,0.00034620551861332376
11,0.0003115577404637294,0.00031099973336330835,0.0003123003329041922,0.0003119885711759116
12,0.0001627955770934184,0.00016374221970043133,0.00016286850242874486,0.0001639406437919683
13,4.5380237961401895e-05,4.691119744380487e-05,4.5156251880355196e-05,4.669995045753594e-05
14,6.390471539055334e-06,7.175045333558906e-06,6.155295344662464e-06,6.918546458100469e-06
15,1.2568995104565956e-05,1.2386236243670825e-05,1.2396708552028388e-05,1.2214453660603226e-05
16,3.178982837958775e-05,3.141939415367033e-05,3.169760167595353e-05,3.133995847301159e-05
17,4.971058360649413e-05,4.977043195776928e-05,4.97399669817473e-05,4.97907794577324e-05
18,5.5778686432190786e-05,5.615082832612261e-05,5.593390403416225e-05,5.626868525033924e-05
19,4.604788431811388e-05,4.6308281972281696e-05,4.625463512380403e-05,4.6471490680209635e-05
20,2.8082523401250075e-05,2.8074925367038136e-05,2.8243796169275975e-05,2.820512878669497e-05
21,1.2584254010206271e-05,1.2470695757658292e-05,1.2653364977322027e-05,1.2519951904453104e-05
22,4.18841560646991e-06,4.156715906332719e-06,4.1815091524615905e-06,4.1315295003635245e-06
23,1.6065000541884997e-06,1.682998174186857e-06,1.5677200964926624e-06,1.6260858534067387e-06
24,2.229458737019701e-06,2.319879810290736e-06,2.1985971948781426e-06,2.281075807798804e-06
25,4.7660449445361805e-06,4.777020428469686e-06,4.769344683184524e-06,4.796166709800568e-06
26,9.237325767497969e-06,9.153978504663067e-06,9.291099960756103e-06,9.254877639459011e-06
27,1.5708832526909227e-05,1.5606528258920052e-05,1.5820727475048948e-05,1.5791893032948336e-05
28,2.2399098373357698e-05,2.2396385177797816e-05,2.2561588901201146e-05,2.2641420975995297e-05
29,2.448507373693461e-05,2.4657655316752304e-05,2.4667687580032698e-05,2.4911222004572304e-05
30,1.728756496390563e-05,1.7607938718067538e-05,1.7441403173447964e-05,1.7810674411157078e-05
31,6.929549926522028e-06,7.291160864533825e-06,7.014117451621097e-06,7.409699215650642e-06
32,2.2988625326064104e-05,2.326397466615042e-05,2.3019408983976667e-05,2.3333348217149914e-05
33,0.00011570899577171127,0.0001157169018052004,0.00011580965491025893,0.00011587923889747132
34,0.00032296010658534413,0.0003223432373722914,0.00032338061495575733,0.000322851509876538
35,0.0006214144537721839,0.0006196344612201228,0.0006224574787730749,0.0006207695652283472
36,0.0009090875757816865,0.0009057164564888088,0.00091092395606508,0.0009076079202346862
37,0.0010548939492299727,0.0010500708185226392,0.0010573669812042005,0.0010525274781386731
38,0.0009878085254259907,0.0009824779111440606,0.0009904140716537522,0.0009849995840175557
39,0.0007485167548044348,0.0007441453418216256,0.000750645942476454,0.000746168337921853
40,0.00045550837089449483,0.000453331267140228,0.00045679482023242636,0.00045453961224880147
41,0.0002195147636597524,0.00021977607788889347,0.00022000296188818378,0.00022023100426155317
42,8.338901851318144e-05,8.523109380176164e-05,8.3400443746054e-05,8.523583660684792e-05
43,2.696326756630413e-05,2.9217287795185796e-05,2.6815325256101403e-05,2.9065344733811966e-05
44,1.0719183815372049e-05,1.2941121571422666e-05,1.0550694632444213e-05,1.2762019434840927e-05
45,9.358905153783006e-06,1.2014596531203004e-05,9.162864629631072e-06,1.1802328958699686e-05
46,1.4844625605766378e-05,1.839923808922947e-05,1.4602175616743309e-05,1.8138454516433315e-05
47,2.3675372501043126e-05,2.7651578515830503e-05,2.3430247545004878e-05,2.7396612988109118e-05
48,2.99733065016685e-05,3.3080879435893156e-05,2.9794736823556836e-05,3.292271906295377e-05
49,2.9244751097491e-05,3.0341095922680307e-05,2.9155200720774248e-05,3.0323598101081337e-05
50,2.3056252585461713e-05,2.1812270815520437e-05,2.3018308050340108e-05,2.190059725877841e-05
51,1.682491511083788e-05,1.3625825717706933e-05,1.6794115373758106e-05,1.3753099218419303e-05
52,1.3888435307917042e-05,9.490688532247485e-06,1.3861713151994059e-05,9.617643826352502e-06
53,1.3356696091976778e-05,8.72921589328061e-06,1.3365066073915885e-05,8.855053394957373e-06
54,1.3048796258905529e-05,9.166643537933727e-06,1.3116959839793753e-05,9.301558570935488e-06
55,1.2358676768834317e-05,9.764171656730719e-06,1.2483942945622603e-05,9.909791664022472e-06
56,1.167352462397382e-05,1.0206649758236305e-05,1.1837541015331803e-05,1.0359094057594358e-05
57,1.0640183729346744e-05,9.734896297757293e-06,1.0824857680717844e-05,9.890248661875453e-06
58,8.42785546027563e-06,7.687646167590673e-06,8.613591583119613e-06,7.83724678353718e-06
59,5.231210568147467e-06,4.66876351937902e-06,5.388511566799096e-06,4.7951105293073176e-06
60,2.413054102534225e-06,2.2069191524961026e-06,2.5084824711031693e-06,2.2913562579050295e-06
61,1.0973350212902567e-06,1.267694240941126e-06,1.1135221227505299e-06,1.3037490709956362e-06
62,1.2067402727868798e-06,1.5699114544420053e-06,1.1556952136162826e-06,1.5685229144746627e-06
63,1.9071298315064059e-06,2.25726169247742e-06,1.8220695070891656e-06,2.239410133184617e-06
64,2.511234221232259e-06,2.7688969474652133e-06,2.425245877737241e-06,2.753126719891121e-06
65,2.82286080731217e-06,3.0239216485484887e-06,2.7545842065208325e-06,3.0187589040518344e-06
66,2.934313946153426e-06,3.13785467662615e-06,2.889184660607444e-06,3.1427252916115315e-06
67,2.9013119398564933e-06,3.1390659623235633e-06,2.8789899534004477e-06,3.1497511759683826e-06
68,2.5641490216519646e-06,2.849622900772133e-06,2.5612615644218354e-06,2.8623002543662735e-06
69,1.7212294037019726e-06,2.045473800162443e-06,1.731210814565151e-06,2.057439616942406e-06
70,6.647534602815051e-07,9.412640887796362e-07,6.822183159072401e-07,9.508405824490958e-07
71,5.622548301266007e-07,5.898680557370187e-07,5.907834559868931e-07,5.977843729158381e-07
72,2.9654892076493064e-06,2.501012828602423e-06,3.019988405196219e-06,2.5121225735949933e-06
73,8.406419870826201e-06,7.327273149338084e-06,8.50548597785057e-06,7.349564258532458e-06
74,1.5161014130917535e-05,1.3581567420744559e-05,1.5313553717441165e-05,1.3621165525818396e-05
75,1.9684419038392245e-05,1.7916722285268863e-05,1.9878724785536243e-05,1.797165424767252e-05
76,1.903533082814078e-05,1.7432060324443085e-05,1.923837449054502e-05,1.749052618033418e-05
77,1.3422733842616334e-05,1.2235129613817126e-05,1.3593258053370492e-05,1.2281767485566885e-05
78,6.253423455243595e-06,5.5772986280002715e-06,6.362496804091964e-06,5.603421476828525e-06
79,1.3369144607795657e-06,1.1131016721897889e-06,1.38118409621493e-06,1.1217456354037605e-06
80,5.231856431759258e-09,4.77482167306237e-08,3.216744011821382e-09,4.881417367199331e-08
81,9.154593714430468e-07,1.0117809466468553e-06,8.923530350899869e-07,1.012468027486493e-06
82,2.1125517523440066e-06,2.184324603663758e-06,2.0868315653194243e-06,2.184205918840994e-06
83,2.7007968902721923e-06,2.8610701713959954e-06,2.6800021438672487e-06,2.8555786665863612e-06
84,2.7412820930854644e-06,3.12301811069469e-06,2.7252427466221317e-06,3.1106796317118885e-06
85,2.4013190528731286e-06,2.9213893655201e-06,2.38782297682674e-06,2.9070698549897828e-06
86,1.7073816915704313e-06,2.080363722751363e-06,1.69609168193018e-06,2.07117537282368e-06
87,8.466564651064126e-07,8.830344834208441e-07,8.392367417311981e-07,8.812368374233433e-07
88,2.3274080247616492e-07,7.699318332004363e-08,2.305258741442512e-07,7.773134111363171e-08
89,1.6013135714032317e-07,1.7601083099537398e-07,1.626425106818197e-07,1.72513911155013e-07
90,5.284102666849196e-07,9.658959011990843e-07,5.339007568781875e-07,9.5609473373134e-07
91,9.681723780109804e-07,1.7806259598182406e-06,9.744796544994026e-07,1.7677703928760955e-06
92,1.1903090461177779e-06,2.145971894607226e-06,1.1949814718019151e-06,2.133621220560716e-06
93,1.1827927376655739e-06,2.0836913809130762e-06,1.1835914187882658e-06,2.071951700192522e-06
94,1.10585458097617e-06,1.8900016852382723e-06,1.1021491138865703e-06,1.8769513461412841e-06
95,1.074606648393849e-06,1.7744594280664126e-06,1.0682262703319823e-06,1.759659028459646e-06
96,1.103341751987774e-06,1.762739241755253e-06,1.0976268811944676e-06,1.7482996300544526e-06
97,1.2277113222804754e-06,1.8466521336105616e-06,1.225265826624085e-06,1.8356992988119923e-06
98,1.553947678992642e-06,2.0691048635588264e-06,1.5545453530139009e-06,2.064294605361411e-06
99,2.0955169483102e-06,2.39985456914309e-06,2.095730397196492e-06,2.402969433606401e-06
100,2.6141638791133333e-06,2.620602074576139e-06,2.6097856789266696e-06,2.632249334233581e-06
101,2.7518204396873136e-06,2.469149825746201e-06,2.7419635967187018e-06,2.4881514335485466e-06
102,2.369105854054616e-06,1.926881176085277e-06,2.3583210283892705e-06,1.9501719673230186e-06
103,1.6990879643273483e-06,1.2869186261692439e-06,1.6948515937060159e-06,1.310422814574335e-06
104,1.1289372304828567e-06,8.880181179585474e-07,1.1364984699815955e-06,9.079817504427675e-07
105,8.681005322449757e-07,8.184403563833278e-07,8.87376429134374e-07,8.325499968964551e-07
106,8.565436645609588e-07,9.134515871219588e-07,8.831993253742933e-07,9.213672345294063e-07
107,9.34704728947952e-07,9.893173635993552e-07,9.63452195962176e-07,9.923566861514906e-07
108,1.020318469105349e-06,1.0106348692289766e-06,1.0475343798340166e-06,1.010781678802709e-06
