,hh,vv,hv,vh
0,0.04578838091944909,0.04576155221368881,0.045833833918328265,0.04581610812161171
1,0.04015578102043253,0.04013426674210123,0.04019335428534084,0.040180635223776226
2,0.02683775067205287,0.02682742055165055,0.02685778373660678,0.026854938874799023
3,0.013278512401249835,0.01327650902302776,0.013283292430470495,0.013286176476955205
4,0.004628252812785541,0.00462828516496525,0.004626600641360356,0.0046285614432279906
5,0.0010955368965925394,0.001094622502361901,0.0010939650549873774,0.0010931316107886716
6,0.00020391108488445887,0.0002028764417804989,0.00020365340701925292,0.00020235999753223264
7,2.087279388515567e-05,2.05987394214112e-05,2.0902333511357654e-05,2.0602691387483452e-05
8,2.4458936798624143e-05,2.432236151500395e-05,2.4488196012438502e-05,2.4202042511342973e-05
9,0.0001840271505057251,0.00018365443269483667,0.0001844608714998159,0.0001835003808825988
10,0.000325698929389307,0.00032602220028086885,0.0003265054935549397,0.00032603860667924114
11,0.00029672850166653363,0.000298566819998258,0.000297411494502159,0.00029867555344288585
12,0.000158663164254151,0.00016136902356131077,0.00015893282016767407,0.00016141882858236595
13,4.723034147894712e-05,4.9426928355296334e-05,4.7194651731782856e-05,4.940407495485123e-05
14,8.082913733167623e-06,9.131091336224685e-06,7.932812870379763e-06,9.106897378004085e-06
15,1.3686799051726637e-05,1.3889823813314371e-05,1.3490433616692238e-05,1.3908831467165463e-05
16,3.4739119540858726e-05,3.4525680258128363e-05,3.450805040050547e-05,3.458322331356519e-05
17,5.393991882077036e-05,5.341910703057387e-05,5.371827210089625e-05,5.348923429160211e-05
18,5.8020606669113576e-05,5.723213578098713e-05,5.786588619936451e-05,5.729172445180781e-05
19,4.465554502174728e-05,4.3816124201155906e-05,4.4586568013691376e-05,4.3856395326618136e-05
20,2.4622177587749352e-05,2.3997091013668286e-05,2.4611475045600803e-05,2.402190723514827e-05
21,9.515320662818924e-06,9.201565779681594e-06,9.521074956293704e-06,9.217068551357352e-06
22,2.5439279617642774e-06,2.453733112988159e-06,2.5425691139741693e-06,2.462615642475081e-06
23,9.339306818440622e-07,9.24320724640403e-07,9.28626832851439e-07,9.286921234052501e-07
24,1.651754407870004e-06,1.6328529053698074e-06,1.6602188137919948e-06,1.6379645395114908e-06
25,3.642431675155705e-06,3.6180608929342894e-06,3.68278178492946e-06,3.6330348557456733e-06
26,7.3448488714426555e-06,7.421070376821705e-06,7.428189182557263e-06,7.458427138396093e-06
27,1.3483594032816844e-05,1.382560087489747e-05,1.3605643282651796e-05,1.3896809353258159e-05
28,2.1095358090225563e-05,2.1771813348716203e-05,2.12252489335066e-05,2.187417293789314e-05
29,2.541401788469424e-05,2.622113801332948e-05,2.5501038908672883e-05,2.6325272342878266e-05
30,2.007589735252552e-05,2.0625559037802873e-05,2.0091007030607448e-05,2.068702633555076e-05
31,8.516691305513805e-06,8.667123227990448e-06,8.490665061762103e-06,8.668463748309813e-06
32,1.913872838657909e-05,1.927663332736809e-05,1.9116511797148994e-05,1.9262040181393097e-05
33,0.00010412411926279228,0.00010469820686073745,0.00010402938704779539,0.00010475006115274243
34,0.00030487745723933857,0.00030544294119633426,0.0003044372810700579,0.000305605997892697
35,0.0006000865617465632,0.0005990189347181016,0.0005989853120421248,0.0005992469573353589
36,0.0008870131310474399,0.0008826069497999099,0.0008852085174260435,0.0008827936296083117
37,0.0010327284259017758,0.0010248568923338737,0.0010306127963192223,0.0010249215325182095
38,0.0009655817733240495,0.0009562883756339494,0.000963766390817695,0.0009562288520843848
39,0.0007272628211967387,0.0007196101678533571,0.0007261572004683824,0.0007194816774034471
40,0.0004373923866324389,0.00043351414636050095,0.00043697778255340994,0.00043337545190430207
41,0.00020645553876089698,0.00020638018138610667,0.00020642713116710538,0.00020626475318744772
42,7.568793697770031e-05,7.776365905288287e-05,7.575316192562362e-05,7.768239443925854e-05
43,2.3232678567223157e-05,2.5685201909561392e-05,2.3265076048156076e-05,2.5634532116239508e-05
44,9.039458834977528e-06,1.1296229022590306e-05,9.028962650106402e-06,1.1263042610942366e-05
45,8.513673330549795e-06,1.1145310078384484e-05,8.466860966210848e-06,1.1118502160720101e-05
46,1.4569010191348915e-05,1.80540109647398e-05,1.4479555186466903e-05,1.803859209750836e-05
47,2.390044276473151e-05,2.76571173418161e-05,2.3770990026883405e-05,2.7673216627771206e-05
48,3.008109980508718e-05,3.28163391665074e-05,2.9933824867444927e-05,3.288127149567083e-05
49,2.8321544360109705e-05,2.9108407423914298e-05,2.8184658484724125e-05,2.9220658946739464e-05
50,2.092479033720307e-05,1.9681735841265324e-05,2.0818362315700723e-05,1.982087988991355e-05
51,1.4530363035338771e-05,1.1632325060961655e-05,1.4464291474708003e-05,1.1770348699654615e-05
52,1.279397049334951e-05,8.700475747777993e-06,1.2772391766370413e-05,8.81332241509337e-06
53,1.3713723351468495e-05,9.105100930559924e-06,1.3736358491344447e-05,9.178704369887741e-06
54,1.3696508211668741e-05,9.551915692732433e-06,1.3754028673594853e-05,9.58231467672754e-06
55,1.1924476531198981e-05,9.041259874377477e-06,1.1995312100253049e-05,9.03141712750277e-06
56,9.885768136357961e-06,8.3256617917414e-06,9.944483897997525e-06,8.283387985757378e-06
57,8.371500136656356e-06,7.56780224838038e-06,8.404829283644799e-06,7.506278930689747e-06
58,6.686140317914617e-06,6.088536159619352e-06,6.6987489787688394e-06,6.025629008652196e-06
59,4.350519465121409e-06,3.8465787045257e-06,4.35302714534614e-06,3.799706942516819e-06
60,2.1088055066802406e-06,1.8687059272082443e-06,2.10384826020723e-06,1.8480654191288294e-06
61,9.755568470442122e-07,1.0845003190608737e-06,9.589663302002501e-07,1.0898586670594573e-06
62,1.0884301384575946e-06,1.4216709579664634e-06,1.0602453950516542e-06,1.4443307953933717e-06
63,1.8143898281206491e-06,2.1840352309204015e-06,1.7827296885773809e-06,2.211931623336976e-06
64,2.5160780542452e-06,2.834754755729692e-06,2.4903534349092113e-06,2.8579151976467543e-06
65,2.9310586517944388e-06,3.225062135851586e-06,2.9152511017621766e-06,3.238906681274442e-06
66,3.0573456228414333e-06,3.3722754343540847e-06,3.0498435674048836e-06,3.377421356023324e-06
67,2.9147586930244276e-06,3.2447893439665703e-06,2.9112200806912964e-06,3.2445930639290556e-06
68,2.407022537185856e-06,2.710718402705187e-06,2.403007492816737e-06,2.7089841937124326e-06
69,1.4630893796683782e-06,1.7100156860537863e-06,1.4577330780267677e-06,1.7099864065456867e-06
70,4.965927100677282e-07,6.567398503872505e-07,4.966198636944705e-07,6.615731145173109e-07
71,7.114772377031314e-07,6.908824236298604e-07,7.309923144693116e-07,7.054346314954762e-07
72,3.5592096561091847e-06,3.1809558879654535e-06,3.613169853681167e-06,3.2120058604608333e-06
73,9.348025273463494e-06,8.446569761408386e-06,9.442889150763247e-06,8.49729259769543e-06
74,1.6131865334856998e-05,1.4701141247090618e-05,1.6259039380323317e-05,1.4762454043187624e-05
75,2.0328233412345156e-05,1.8590779269117147e-05,2.0464844136641188e-05,1.864080443370825e-05
76,1.9206060575219654e-05,1.753264928118743e-05,1.9324495483783722e-05,1.7550599208828196e-05
77,1.3268092818245432e-05,1.20015743330053e-05,1.3349551275694307e-05,1.1985306288528355e-05
78,6.0485622073635065e-06,5.347036196319146e-06,6.090867313805806e-06,5.3162402382715025e-06
79,1.2464169355026016e-06,1.0293547680502425e-06,1.2603912931369073e-06,1.0101709373573187e-06
80,8.376399572956276e-09,3.098334254130949e-08,7.4333005655683755e-09,3.6264850929604365e-08
81,9.094210103788289e-07,9.36927233970699e-07,9.014583939003033e-07,9.586774488592467e-07
82,2.018009114276131e-06,1.9936640916218013e-06,2.003737429346223e-06,2.011489736887463e-06
83,2.4709691419676177e-06,2.5229972695419287e-06,2.4472725329741727e-06,2.5199508597121893e-06
84,2.3503989284528313e-06,2.600254758402941e-06,2.316117938688382e-06,2.5740529764812186e-06
85,1.8858747346117664e-06,2.253959523898756e-06,1.8464462393209939e-06,2.2165380219185247e-06
86,1.1965715585638974e-06,1.4503387859018354e-06,1.16289416468995e-06,1.4179349841189148e-06
87,4.94867991988242e-07,5.091758283732952e-07,4.759321482016912e-07,4.920423324579531e-07
88,9.950724798880264e-08,2.3499890700263575e-08,9.553719983242726e-08,2.270325898600938e-08
89,1.6895509790110748e-07,2.980498523385759e-07,1.7194484710395622e-07,3.087572864787071e-07
