,hh,vv,hv,vh
0,0.02045624092348653,0.02330593846318122,0.023322687041506456,0.02332899038485462
1,0.013712960244348283,0.020475810241452203,0.020490740644648474,0.02049695377199326
2,0.006727291806180052,0.013723226415439022,0.013733675901180664,0.013739421740403424
3,0.002184580963465848,0.00672915934613764,0.006734642430633842,0.006739279379714
4,0.000363911324768727,0.002182833929222556,0.002184700570117757,0.0021877727032775726
5,4.198388254039896e-05,0.00036270485781148205,0.00036281162697801496,0.0003644708534547757
6,8.083159621650508e-05,4.250077666240068e-05,4.212543912707643e-05,4.2982929226936285e-05
7,7.220685501616649e-05,8.216047089032959e-05,8.181424850065748e-05,8.240535884956116e-05
8,3.457672825934407e-05,7.326931365229422e-05,7.306755338913929e-05,7.354943262758137e-05
9,1.5550115903970698e-05,3.50462588315115e-05,3.5006428132423214e-05,3.5313260085787616e-05
10,6.94546916194985e-06,1.5630364663170863e-05,1.571660171992329e-05,1.582830495095712e-05
11,8.58779699202501e-07,6.900943139733523e-06,7.015387091656062e-06,7.0151589750206245e-06
12,1.2779679477334267e-06,8.348491992373866e-07,8.756970274022543e-07,8.642680917183745e-07
13,6.577764513030434e-06,1.3356361490581792e-06,1.2542844735544888e-06,1.3079396288239381e-06
14,1.0569110605192106e-05,6.731600144340307e-06,6.534838778564116e-06,6.709142802212764e-06
15,1.0857607815903888e-05,1.0788170609017964e-05,1.0515881825438601e-05,1.0821546129625864e-05
16,8.781299692889557e-06,1.1086832267011381e-05,1.0792835878552653e-05,1.1172935606221242e-05
17,6.501251300699274e-06,8.98296584566587e-06,8.717389957801818e-06,9.081496093393036e-06
18,5.686281289412559e-06,6.667128523435978e-06,6.462987326740166e-06,6.745664754526415e-06
19,6.4356918288107914e-06,5.820597471947646e-06,5.686708442309368e-06,5.871383557354568e-06
20,7.301527155700513e-06,6.551795180087809e-06,6.466756553034087e-06,6.575192554372545e-06
21,6.937415553517887e-06,7.430232394988829e-06,7.347909042572136e-06,7.42178270415441e-06
22,5.28383357961206e-06,7.106356651726789e-06,6.9880292416149175e-06,7.066215339578587e-06
23,3.2956469350755824e-06,5.477697128038351e-06,5.328163906985161e-06,5.422336566053277e-06
24,2.02319606667637e-06,3.457686449557467e-06,3.3199465351901243e-06,3.4112173573490955e-06
25,1.7652285458758987e-06,2.1107481031216577e-06,2.018086189664198e-06,2.0855061220242914e-06
26,1.9108689828192402e-06,1.7948107206780612e-06,1.7344066759649372e-06,1.7871376672414077e-06
27,1.725445344685659e-06,1.9388247696788735e-06,1.8682337281034504e-06,1.942500567744444e-06
28,1.1265101717569847e-06,1.7897323874707952e-06,1.6844209847241977e-06,1.8047309648617658e-06
29,5.152307194589893e-07,1.2154915873558935e-06,1.0935308694906998e-06,1.2413621336563572e-06
30,1.6080722502520602e-07,5.898184533381847e-07,4.913393558591756e-07,6.182832258848931e-07
31,2.744210226428939e-08,1.9681063341804588e-07,1.459276828277588e-07,2.165821501936191e-07
32,6.55801708611565e-09,3.295088218538756e-08,2.190122530780042e-08,3.93869243141897e-08
33,8.349290434857284e-08,5.952881050152302e-09,9.952223601006135e-09,3.321515420216204e-09
34,3.3468939892566495e-07,9.198303174114035e-08,9.367908922216809e-08,8.861852688127753e-08
35,8.723796495059494e-07,3.3703286034648856e-07,3.480181896158671e-07,3.402963297675084e-07
36,1.7523463853837798e-06,7.96661148878074e-07,8.848959230046646e-07,8.101492435410419e-07
37,2.8343475289047283e-06,1.44999823931973e-06,1.7622498062945859e-06,1.4721438901017837e-06
38,3.7175865284446356e-06,2.120190842723369e-06,2.845122060533666e-06,2.1445981758708096e-06
39,3.922931376186262e-06,2.4964291029133195e-06,3.7385252270207993e-06,2.514351250413306e-06
40,3.261911179914923e-06,2.3213497413899164e-06,3.964316328860113e-06,2.3252115788024486e-06
41,2.044387971557384e-06,1.630053947341346e-06,3.3271392136438676e-06,1.6168017564262394e-06
42,8.867969785845783e-07,7.929501244535628e-07,2.124863797291617e-06,7.665620104628675e-07
43,3.148116869849298e-07,2.754851494805123e-07,9.63134874259197e-07,2.4758632584328463e-07
44,5.268278350934181e-07,3.3765729978431076e-07,3.6306745818025393e-07,3.250081788149924e-07
45,1.4163831741196026e-06,9.41595390345456e-07,5.261288072391243e-07,9.60823939619771e-07
46,2.6717861745388095e-06,1.8729119553197352e-06,1.3548034570311959e-06,1.9353584890149554e-06
47,3.8258875868308815e-06,2.869524121983602e-06,2.54858513247813e-06,2.979334013374885e-06
48,4.361191500453869e-06,3.6328914165958896e-06,3.650111357117084e-06,3.787837182796507e-06
49,3.983194946293839e-06,3.840083350875886e-06,4.14906362623787e-06,4.031102443705984e-06
50,2.8742541907290724e-06,3.319495896786255e-06,3.7568408233087746e-06,3.5276912738710422e-06
51,1.5943971302330388e-06,2.26430821527971e-06,2.660663922111847e-06,2.4606987687624124e-06
52,6.547368922650805e-07,1.162825497965082e-06,1.4210390890552546e-06,1.3161082974777396e-06
53,1.9930984787012508e-07,4.318250761021848e-07,5.418145271008864e-07,5.205277028900122e-07
54,7.247705652526007e-08,1.4672248259725723e-07,1.5383033133475598e-07,1.6607610070888953e-07
55,7.459302962579788e-08,1.2795998519147269e-07,8.819781695743375e-08,8.72777732928986e-08
56,1.0081856164297566e-07,1.866542571583822e-07,1.363886065548304e-07,1.0216824419332499e-07
57,1.2477755600281888e-07,2.386747554050141e-07,1.8998744164136578e-07,1.280304958011032e-07
58,1.4625672404623814e-07,2.7057596551695697e-07,2.235662974778099e-07,1.5024128992580825e-07
59,1.6081816099728762e-07,2.859920369809026e-07,2.403017261976665e-07,1.7060381332272955e-07
60,1.5358625231566874e-07,2.8136742395108396e-07,2.3849734832972445e-07,1.8473848063689603e-07
